Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.602032    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.14] for pod "acmeair-flightservice-76d48bfb54-kk6l7_default(22d5e548-7075-4bd3-a583-94e07cdace46)" after sandbox changed
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.609747    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.15] for pod "acmeair-flightservice-76d48bfb54-925x7_default(19ff56e8-7b5d-45a8-b6d9-ce93c002de8f)" after sandbox changed
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.871234    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-6wht9" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.871669    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-kk6l7" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:58 ip-172-31-17-97 kubelet[4436]: I0603 15:03:58.944515    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-925x7" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:03:57 ip-172-31-21-16 kubelet[4419]: I0603 15:03:57.581548    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-qlgbq_default(80f70ae2-23a4-460f-9731-03e3d61f09c9)"
Jun 03 15:03:57 ip-172-31-21-16 kubelet[4419]: I0603 15:03:57.643963    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-8bpxm_default(37da19d2-df4b-4581-8e11-abfab55f40f1)"
Jun 03 15:03:57 ip-172-31-21-16 kubelet[4419]: I0603 15:03:57.644493    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-gs6xh_default(108879a6-95a0-4e8f-81dc-8cb855ca0d45)"
Jun 03 15:03:57 ip-172-31-21-16 kubelet[4419]: I0603 15:03:57.686093    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-prl6z_default(76c14004-c72f-4235-ab19-980e98ee34af)"
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.463335    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-qlgbq_default"
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.569958    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.14] for pod "acmeair-flightservice-76d48bfb54-qlgbq_default(80f70ae2-23a4-460f-9731-03e3d61f09c9)" after sandbox changed
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.621312    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-gs6xh_default"
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.697062    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-8bpxm_default"
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.710485    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-prl6z_default"
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.846931    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.15] for pod "acmeair-flightservice-76d48bfb54-gs6xh_default(108879a6-95a0-4e8f-81dc-8cb855ca0d45)" after sandbox changed
Jun 03 15:03:58 ip-172-31-21-16 kubelet[4419]: I0603 15:03:58.849361    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.16] for pod "acmeair-flightservice-76d48bfb54-8bpxm_default(37da19d2-df4b-4581-8e11-abfab55f40f1)" after sandbox changed
