Jun 03 16:44:48 ip-172-31-18-31 kubelet[4424]: I0603 16:44:48.821541    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-thghn" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:49 ip-172-31-18-31 kubelet[4424]: I0603 16:44:49.159246    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-5pn8v" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:49 ip-172-31-18-31 kubelet[4424]: I0603 16:44:49.185836    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-th8sr" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:49 ip-172-31-18-31 kubelet[4424]: I0603 16:44:49.202688    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-d7sk5" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:47 ip-172-31-24-242 kubelet[4430]: I0603 16:44:47.715883    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-wclf8_default(f5a12cb1-1663-4c93-8ca5-bfdfce167d4c)"
Jun 03 16:44:47 ip-172-31-24-242 kubelet[4430]: I0603 16:44:47.771942    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-6zfqv_default(1af7f051-bebe-415c-9901-0ab732abdfb2)"
Jun 03 16:44:47 ip-172-31-24-242 kubelet[4430]: I0603 16:44:47.812880    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xq9bw_default(21ad0719-f386-4135-b569-10b96964b9ac)"
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.025877    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-wclf8_default"
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.057770    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xq9bw_default"
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.076013    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-6zfqv_default"
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.171899    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.21] for pod "acmeair-flightservice-76d48bfb54-wclf8_default(f5a12cb1-1663-4c93-8ca5-bfdfce167d4c)" after sandbox changed
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.176583    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.22] for pod "acmeair-flightservice-76d48bfb54-xq9bw_default(21ad0719-f386-4135-b569-10b96964b9ac)" after sandbox changed
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.205093    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.23] for pod "acmeair-flightservice-76d48bfb54-6zfqv_default(1af7f051-bebe-415c-9901-0ab732abdfb2)" after sandbox changed
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.406975    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-wclf8" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.443824    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xq9bw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:50 ip-172-31-24-242 kubelet[4430]: I0603 16:44:50.455783    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-6zfqv" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:44:47 ip-172-31-26-125 kubelet[4429]: I0603 16:44:47.737413    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-ctmgf_default(38b0beda-9a27-4241-97d7-780ac5f31b28)"
Jun 03 16:44:47 ip-172-31-26-125 kubelet[4429]: I0603 16:44:47.786344    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-lfhlh_default(0fd43e25-704d-4afa-b82e-569be136612e)"
Jun 03 16:44:47 ip-172-31-26-125 kubelet[4429]: I0603 16:44:47.835097    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-z29cn_default(acda5d34-e912-454c-b905-497e3ecb3fdc)"
Jun 03 16:44:48 ip-172-31-26-125 kubelet[4429]: I0603 16:44:48.525016    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-lfhlh_default"
Jun 03 16:44:48 ip-172-31-26-125 kubelet[4429]: I0603 16:44:48.530692    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-ctmgf_default"
Jun 03 16:44:48 ip-172-31-26-125 kubelet[4429]: I0603 16:44:48.570859    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-z29cn_default"
