Jun 03 14:15:53 ip-172-31-29-81 kubelet[4634]: I0603 14:15:53.121122    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-cphl6_default(efe255b3-4bae-40a0-9ca7-e903e80a433d)"
Jun 03 14:15:53 ip-172-31-29-81 kubelet[4634]: I0603 14:15:53.149890    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-gk6cb_default(00dbdd25-8e1c-43a4-81ca-40ec2c5e59b6)"
Jun 03 14:15:53 ip-172-31-29-81 kubelet[4634]: I0603 14:15:53.938610    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-cphl6_default"
Jun 03 14:15:53 ip-172-31-29-81 kubelet[4634]: I0603 14:15:53.971674    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-n4bqx_default"
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.002404    4634 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-gk6cb_default"
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.194989    4634 kuberuntime_manager.go:782] Determined the ip [100.112.14.201] for pod "acmeair-flightservice-76d48bfb54-cphl6_default(efe255b3-4bae-40a0-9ca7-e903e80a433d)" after sandbox changed
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.305725    4634 kuberuntime_manager.go:782] Determined the ip [100.112.14.202] for pod "acmeair-flightservice-76d48bfb54-n4bqx_default(40fcd7c0-95a6-4bc0-88eb-9b9ae4bf84dd)" after sandbox changed
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.340200    4634 kuberuntime_manager.go:782] Determined the ip [100.112.14.203] for pod "acmeair-flightservice-76d48bfb54-gk6cb_default(00dbdd25-8e1c-43a4-81ca-40ec2c5e59b6)" after sandbox changed
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.433672    4634 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-cphl6" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.577853    4634 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-gk6cb" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:15:54 ip-172-31-29-81 kubelet[4634]: I0603 14:15:54.628983    4634 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-n4bqx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:14 ip-172-31-24-94 kubelet[4615]: I0603 14:19:14.777284    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-cbgzs_default(78f51f4c-f4ac-4b9e-90d8-f2b4847af777)"
Jun 03 14:19:14 ip-172-31-24-94 kubelet[4615]: I0603 14:19:14.854793    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-v5ntf_default(8a28c2fb-53b1-4b0e-b16d-1827455a58b6)"
Jun 03 14:19:14 ip-172-31-24-94 kubelet[4615]: I0603 14:19:14.890290    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tflt6_default(6183b052-d2de-4545-a701-f4f1de07c1f2)"
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.485784    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-cbgzs_default"
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.510239    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-v5ntf_default"
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.526493    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tflt6_default"
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.733860    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.78] for pod "acmeair-flightservice-76d48bfb54-cbgzs_default(78f51f4c-f4ac-4b9e-90d8-f2b4847af777)" after sandbox changed
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.775140    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.79] for pod "acmeair-flightservice-76d48bfb54-v5ntf_default(8a28c2fb-53b1-4b0e-b16d-1827455a58b6)" after sandbox changed
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.809928    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.80] for pod "acmeair-flightservice-76d48bfb54-tflt6_default(6183b052-d2de-4545-a701-f4f1de07c1f2)" after sandbox changed
Jun 03 14:19:16 ip-172-31-24-94 kubelet[4615]: I0603 14:19:16.979848    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-cbgzs" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:17 ip-172-31-24-94 kubelet[4615]: I0603 14:19:17.063023    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-v5ntf" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:17 ip-172-31-24-94 kubelet[4615]: I0603 14:19:17.074045    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tflt6" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:19:14 ip-172-31-25-1 kubelet[4618]: I0603 14:19:14.727032    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-248bk_default(c342145c-0053-46ac-a560-731365b1dd0c)"
Jun 03 14:19:14 ip-172-31-25-1 kubelet[4618]: I0603 14:19:14.843926    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7tlh8_default(d1d9642b-7dcd-4dc9-90e4-a1115dc1d1d1)"
Jun 03 14:19:14 ip-172-31-25-1 kubelet[4618]: I0603 14:19:14.879093    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-n646m_default(dc99f040-198e-40eb-a5e8-d88b5d183625)"
Jun 03 14:19:14 ip-172-31-25-1 kubelet[4618]: I0603 14:19:14.911796    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xmnpm_default(235ecf67-962d-42fe-8554-057baa7b9b5f)"
Jun 03 14:19:15 ip-172-31-25-1 kubelet[4618]: I0603 14:19:15.548736    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-248bk_default"
Jun 03 14:19:15 ip-172-31-25-1 kubelet[4618]: I0603 14:19:15.810816    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7tlh8_default"
Jun 03 14:19:15 ip-172-31-25-1 kubelet[4618]: I0603 14:19:15.815046    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xmnpm_default"
Jun 03 14:19:15 ip-172-31-25-1 kubelet[4618]: I0603 14:19:15.816335    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-n646m_default"
Jun 03 14:19:15 ip-172-31-25-1 kubelet[4618]: I0603 14:19:15.924007    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.139] for pod "acmeair-flightservice-76d48bfb54-248bk_default(c342145c-0053-46ac-a560-731365b1dd0c)" after sandbox changed
Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.090190    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.140] for pod "acmeair-flightservice-76d48bfb54-7tlh8_default(d1d9642b-7dcd-4dc9-90e4-a1115dc1d1d1)" after sandbox changed
Jun 03 14:19:16 ip-172-31-25-1 kubelet[4618]: I0603 14:19:16.123396    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-248bk" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
